Pid_red,T_red,nmoves,nequil,nprod,sbox,rho,P,P_var,rho_red,P_red,P_var_red,time,seed
0.016,2,100,500,1000,21.0372,0.00015726878343284433,0.6354563373629268,0.23103701120194067,0.008161481916695117,0.016193932373220466,0.005887733767266514,4.878000020980835,91530
0.016,2,100,500,1000,21.0372,0.00015662541016054732,0.6369495661768462,0.2406406516587182,0.008128093985454592,0.0162319857295387,0.006132472382572757,5.125,68451
0.016,2,100,500,1000,21.0372,0.0001559229625477222,0.6293499121237435,0.22186409141563468,0.008091640384400661,0.01603831658728648,0.005653971612496191,4.926999807357788,78854
0.016,2,100,500,1000,21.0372,0.0001592418664064831,0.6429229900722468,0.22899741395451118,0.008263875288462811,0.016384212116956804,0.005835756789539693,5.255999803543091,29224
0.016,2,100,500,1000,21.0372,0.00015687137423292795,0.6349943831705206,0.22427750994585735,0.00814085831976858,0.01618215995942663,0.005715475030069918,5.075999975204468,64393
0.032,2,100,500,1000,21.0372,0.0003176706550715157,1.275357986542336,0.4420220292495845,0.01648555581240295,0.03250114881444272,0.011264463706266058,8.46299958229065,55396
0.032,2,100,500,1000,21.0372,0.0003243514259457853,1.2950009846791,0.39175089780572875,0.016832255198573363,0.03300172983745073,0.009983357113946201,8.337999820709229,58377
0.032,2,100,500,1000,21.0372,0.0003165482426014817,1.266690026111675,0.4193459333385738,0.016427308085948278,0.032280255014547066,0.010686587395840908,8.998999834060669,42461
0.032,2,100,500,1000,21.0372,0.00032280153006611145,1.2943620231655417,0.4385396196607089,0.01675182317055987,0.03298544657937104,0.011175718182675666,8.581000089645386,67293
0.032,2,100,500,1000,21.0372,0.00031831080610705663,1.2706735734914627,0.4003585179439815,0.01651877652529002,0.03238177150447855,0.01020271320533667,8.36299991607666,67320
0.064,2,100,500,1000,21.0372,0.000672934072297281,2.639864232714208,0.7651119672885647,0.034921992415153855,0.06727414669663107,0.019498068911595907,15.296000003814697,41552
0.064,2,100,500,1000,21.0372,0.0006669213785104386,2.6126601970316696,0.7716648651966903,0.034609962967600494,0.06658088063219947,0.019665062581079445,14.788000106811523,84476
0.064,2,100,500,1000,21.0372,0.0006730489987415813,2.658469986793226,0.8327104230071751,0.03492795653642721,0.0677482946523486,0.021220744028794574,15.164000034332275,42858
0.064,2,100,500,1000,21.0372,0.0006767309412748603,2.6543105965814564,0.7947993705133304,0.035119031374979,0.0676422969939056,0.020254620970158208,15.238999843597412,92042
0.064,2,100,500,1000,21.0372,0.0006753861944686569,2.6475082722080154,0.8192411837993776,0.0350492455821357,0.06746894695487483,0.02087749471955804,16.215999841690063,68534
0.128,2,100,500,1000,21.0372,0.0014724376043733277,5.589056326243177,1.7024900186721195,0.07641232175415355,0.14243118662236257,0.04338615669940695,45.305999994277954,76775
0.128,2,100,500,1000,21.0372,0.0014611017754654432,5.492649143283399,1.6414042048755173,0.0758240475866869,0.1399743515743053,0.04182944937048099,32.84299993515015,59786
0.128,2,100,500,1000,21.0372,0.001468952218282169,5.593501540714195,1.660270622123354,0.0762314472351627,0.14254446820961822,0.04231024005124485,31.318000078201294,73292
